Title,Authors,Abstract,Publication Date
Essential Elements of Writing a Research/Review Paper for Conference/Journals,N/A,2018 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services (ETTLIS)Year: 2018 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2018 | Conference Paper | Publisher: IEEE
Detecting Research Fronts and Potentially Valuable Papers Using Paper Metadata,N/A,2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT)Year: 2020 | Conference Paper | Publisher: IEEE,Year: 2020 | Conference Paper | Publisher: IEEE
Agricultural research front detection and national cooperative performance analysis based on ESI,N/A,2016 3rd International Conference on Systems and Informatics (ICSAI)Year: 2016 | Conference Paper | Publisher: IEEE,Year: 2016 | Conference Paper | Publisher: IEEE
Optimization model of trubines and boilers load distribution in paper mill power plant,N/A,2010 2nd International Conference on Computer Engineering and TechnologyYear: 2010 | Conference Paper | Publisher: IEEE,Year: 2010 | Conference Paper | Publisher: IEEE
Semantic Embedding-Based Recommender System for Research Paper Discovery and Subject Area Prediction,N/A,"2024 8th International Conference on Computing, Communication, Control and Automation (ICCUBEA)Year: 2024 | Conference Paper | Publisher: IEEE",Year: 2024 | Conference Paper | Publisher: IEEE
Harder things will stretch you further: helping first-year undergraduate students meaningfully engage with recent research papers in probability and statistics,N/A,"Teaching Mathematics and Its Applications: International Journal of the IMAYear: 2020 | Volume: 40, Issue: 1 | Journal Article | Publisher: OUP","Year: 2020 | Volume: 40, Issue: 1 | Journal Article | Publisher: OUP"
"Paper Analysis and Database of Papers of the Pelliot Collection, Dunhuang Manuscripts",N/A,2015 International Conference on Culture and Computing (Culture Computing)Year: 2015 | Conference Paper | Publisher: IEEE Cited by: Papers (1),Year: 2015 | Conference Paper | Publisher: IEEE
Research on Intelligent Fixing Test Paper Algorithm Based on Cultural Algorithms and Genetic Algorithm,N/A,2009 Second International Conference on Information and Computing ScienceYear: 2009 | Conference Paper | Publisher: IEEE,Year: 2009 | Conference Paper | Publisher: IEEE
Development of Paper with Dhaincha Fiber (Sesbania aculeata),N/A,"2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)Year: 2021 | Conference Paper | Publisher: IEEE Cited by: Papers (1)",Year: 2021 | Conference Paper | Publisher: IEEE
Optimized summarization of research papers as an aid for research scholars using data mining techniques,N/A,"2012 International Conference on Radar, Communication and Computing (ICRCC)Year: 2012 | Conference Paper | Publisher: IEEE",Year: 2012 | Conference Paper | Publisher: IEEE
Writing Good Software Engineering Research Papers: Revisited,N/A,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)Year: 2017 | Conference Paper | Publisher: IEEE Cited by: Papers (5),Year: 2017 | Conference Paper | Publisher: IEEE
Layout Aware Research Paper Parsing and Draft Research Paper Layout-Error Detection Using NLP and Rule-based Techniques,N/A,2024 9th International Conference on Information Technology Research (ICITR)Year: 2024 | Conference Paper | Publisher: IEEE,Year: 2024 | Conference Paper | Publisher: IEEE
Recommending Research Papers to Chemists: A Specialized Interface for Chemical Entity Exploration,N/A,2022 ACM/IEEE Joint Conference on Digital Libraries (JCDL)Year: 2022 | Conference Paper | Publisher: IEEE,Year: 2022 | Conference Paper | Publisher: IEEE
Artificial Intelligence for Research (AI4R): Knowledge Base and Impact,N/A,2024 International Conference on Intelligent Education and Intelligent Research (IEIR)Year: 2024 | Conference Paper | Publisher: IEEE,Year: 2024 | Conference Paper | Publisher: IEEE
Taking a Deep Breath before Jumping into Research in Computer Science and Engineering,N/A,2015 Fifth International Conference on Advanced Computing & Communication TechnologiesYear: 2015 | Conference Paper | Publisher: IEEE,Year: 2015 | Conference Paper | Publisher: IEEE
Papyres: A Research Paper Management System,N/A,"2008 10th IEEE Conference on E-Commerce Technology and the Fifth IEEE Conference on Enterprise Computing, E-Commerce and E-ServicesYear: 2008 | Conference Paper | Publisher: IEEE Cited by: Papers (15)",Year: 2008 | Conference Paper | Publisher: IEEE
The impact of paper prototyping on card sorting: A case study,N/A,"Interacting with ComputersYear: 2012 | Volume: 24, Issue: 5 | Journal Article | Publisher: OUP","Year: 2012 | Volume: 24, Issue: 5 | Journal Article | Publisher: OUP"
Related paper recommendation to support online-browsing of research papers,N/A,Fourth International Conference on the Applications of Digital Information and Web Technologies (ICADIWT 2011)Year: 2011 | Conference Paper | Publisher: IEEE Cited by: Papers (20),Year: 2011 | Conference Paper | Publisher: IEEE
Analyzing the Composition of Academic Papers in Science and Technology : — a case study of highly cited academic research papers on authentication scheme,N/A,2020 International Conference on Culture-oriented Science & Technology (ICCST)Year: 2020 | Conference Paper | Publisher: IEEE,Year: 2020 | Conference Paper | Publisher: IEEE
A User-Devised Search Query and Clustering Technique for Searching Through Research Papers,N/A,2023 15th International Congress on Advanced Applied Informatics Winter (IIAI-AAI-Winter)Year: 2023 | Conference Paper | Publisher: IEEE,Year: 2023 | Conference Paper | Publisher: IEEE
